ni / non plus,tampoco
avant-hier,anteayer
Il fait beau,Hace buen tiempo - Hace bueno
Il fait mauvais temps,Hace mal tiempo - Hace malo
Il fait chaud,Hace calor
Il fait froid,Hace frío
la neige,la nieve
neiger,nevar (ie)
la glace,el hielo
geler,helar (ie)
la pluie,la lluvia
pleuvoir,llover (ue)
la tempête,la borrasca
une averse,un chubasco
tonner,tronar (ue)
le tonnerre,el trueno
l'orage,la tormenta
un éclair,un relámpago
la grêle,el granizo
nuages et éclaircies,nubes y claros
intervalles nuageux,intervalos nubosos
un nuage,una nube
le ciel est nuageux,el cielo está nublado
le ciel est couvert,el cielo está cubierto
se couvrir,nublarse
le vent,el viento
une rafale de vent,una racha de viento
le soleil,el sol
l'anticyclone,el anticiclón
le ciel est dégagé,el cielo está despejado
il fait soleil,hace sol
l'arc-en-ciel,el arco iris
la température,la temperatura
les degrés,los grados
le climat,el clima
en dessous de zéro,bajo cero
se lever,levantarse
se réveiller,despertarse (ie)
se doucher,ducharse
se baigner,bañarse
se coiffer,peinarse
se brosser les dents,cepillarse los dientes
s’habiller,vestirse (i)
aller au collège,ir al colegio
aller travailler,ir a trabajar
sortir de la maison,salir de casa
prendre le bus,coger el autobús
arriver au travail,llegar a trabajar
commencer à travailler,empezar (ie) a trabajar
étudier,estudiar
finir de travailler,terminar de trabajar
revenir à la maison,volver (ue) a casa
rentrer à la maison,regresar a casa
arriver à la maison,llegar a casa
faire les devoirs,hacer los deberes
regarder la télé,ver/mirar la tele
faire du sport,hacer deporte
dormir,dormir (ue)
se coucher,acostarse (ue)
les repas,las comidas
manger,comer
prendre le petit-déjeuner,desayunar
le petit-déjeuner,el desayuno
déjeuner,almorzar (ue)
le déjeuner,el almuerzo
goûter,merendar (ie)
le goûter,la merienda
dîner,cenar
le dîner,la cena
les loisirs,los ocios
le temps libre,el tiempo libre
les moments de libre,los ratos libres
les vacances,las vacaciones
le congé,el asueto
un jour férié,un día festivo
le week end,el fin de semana
Les lieux de détente,los lugares de esparcimiento
le cinéma,el cine
le théâtre,el teatro
le cirque,el circo
la salle de concert,la sala de concierto
la rue,la calle
le bar,el bar
un club,un club
la boîte de nuit,la discoteca
un endroit à la mode,un lugar de moda
la salle de jeux,el salón recreativo
les arènes,la plaza de toros
le parc d’attractions,el parque de atracciones
la foire,la feria
le musée,el museo
le zoo,el zoológico
Les activités,las actividades
un film,una película
un feuilleton,un serial
une émission,una tertulia radiofónica
un dessin animé,un dibujo animado
un western,una película del Oeste
la tauromachie,la tauromaquia
la lecture,la lectura
un roman,una novela
un revue,una revista
une bande dessinée,un tebeo
un disque,un disco
un C.D,un disco compacto
la danse,el baile
une boum,un guateque
le repos,el descanso
ne rien faire,holgar
se reposer,descansar
s’amuser,divertirse
se distraire,distraerse
s’ennuyer,aburrirse
faire plaisir,agradar
déplaire,desagradar
fêter,celebrar
faire la fête,festejar
se relaxer,relajarse
se défouler,desahogar
jouir,gozar
profiter,disfrutar
s’évader,evadirse
se consacrer,dedicarse
prendre un billet,sacar un billete
écouter la radio,oír la radio
rencontrer une personne,topar con
regarder la télé,mirar la tele
zapper,zapear
prendre des photos,sacar fotos
collectionner,coleccionar
flâner,callejear
se promener,pasear
jouer du piano,tocar el piano
danser,bailar
chanter,cantar
lire,leer
pêcher,pescar
jardiner,arreglar el jardín
aller prendre un verre,ir de copas
aller prendre l’apéritif,ir de tapas
aller faire la bringue,ir de juerga
passer une nuit blanche,trasnochar
faire du sport,practicar deporte
jouer de la musique,tocar música
dessiner,dibujar
faire du théâtre,hacer teatro
faire de la danse,practicar danza
jouer aux échecs,jugar (ue) ajedrez
surfer sur internet,navegar en internet
jouer aux jeux vidéos,jugar (ue) con videojuegos
sortir avec des amis,salir con amigos
aller au cinéma,ir al cine
aller à la piscine,ir a la piscina
se promener,ir de paseo
aller au parc,ir al parque
aller à la montagne,ir a la sierra
partir à la campagne,salir al campo
Le sport,el deporte
le football,el fútbol
le basketball,el baloncesto
la natation,la natación
le tennis,el tenis
l’athlétisme,al atletismo
le handball,el balonmano
le cyclisme,el ciclismo
la gymnastique,la gimnasia
l’haltérophilie,la halterofilia
le parachutisme,el paracaidismo
le canoë,el piragüismo
le rugby,el rugby
la randonnée,el senderismo
le volley-ball,el voleibol
le ski,el esquí
l’équitation,la equitación
le triathlon,el triatlón
le patinage,el patinaje
l’aviron,el remo
le ballon,el balón
les skis,los esquís
les patins,los patines
la raquette,la raqueta
le vélo,la bicicleta
l’haltère,la pesa
la balle / le ballon,la pelota
le match,el partido
la compétition,la competición
la course,la carrera
le trophée,el trofeo
l’arbitre,el árbitro
le stade,el estadio
l’équipe,el equipo
le supporter,el hincha
La musique,la música
la guitare,la guitarra
le piano,el piano
la batterie,la batería
la flûte,la flauta
la harpe,el arpa
le violon,el violín
la trompette,la trompeta
le saxophone,el saxofón
l’accordéon,el acordeón
les castagnettes,las castañuelas
le violoncelle,el violonchelo
le tambour,el tambor
l’harmonica,la armónica
le clavier,el teclado
l’orgue,el órgano
la clarinette,el clarinete
Les fêtes,las fiestas
l’anniversaire,el cumpleaños
Noël,la Navidad
le Nouvel An,el Año Nuevo
les Rois Mages (l’épiphanie),los Reyes Magos
la Saint-Valentin,el día de San Valentín
Pâques,la Pascua
la fête des mères,el día de la Madre
la fête des pères,el día del Padre
la fête des enfants,el día del Niño
la nuit de Noël,la Nochebuena
la nuit du 31 décembre,la Nochevieja
faire la liste des invités,hacer una lista de invitados
faire des courses,hacer las compras
décorer la maison,decorar la casa
acheter un cadeau,comprar un regalo
envoyer les invitations,enviar las invitaciones
le gâteau,el pastel / la torta
